variant	global_N	images	weed_instances	accepted_candidates	mean_candidates_per_image	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
commissioned_T070_A032	11	26	1712	11	0.4230769230769231	0.6363636363636364	0.06542056074766354	0.006425233644859813	0.0017523364485981308	0.11538461538461539
original_T095_A032	12	26	1712	12	0.46153846153846156	0.6666666666666666	0.0035046728971962616	0.002336448598130841	0.002336448598130841	0.15384615384615385
commissioned_T070_A032	12	26	1712	12	0.46153846153846156	0.5833333333333334	0.06717289719626168	0.006425233644859813	0.0017523364485981308	0.15384615384615385
original_T095_A032	13	26	1712	13	0.5	0.6923076923076923	0.0040887850467289715	0.0029205607476635513	0.0029205607476635513	0.15384615384615385
commissioned_T070_A032	13	26	1712	13	0.5	0.6153846153846154	0.06775700934579439	0.007009345794392523	0.002336448598130841	0.15384615384615385
original_T095_A032	14	26	1712	14	0.5384615384615384	0.7142857142857143	0.004672897196261682	0.0035046728971962616	0.0035046728971962616	0.15384615384615385
commissioned_T070_A032	14	26	1712	14	0.5384615384615384	0.6428571428571429	0.0683411214953271	0.007593457943925234	0.0029205607476635513	0.15384615384615385
original_T095_A032	15	26	1712	15	0.5769230769230769	0.7333333333333333	0.005257009345794392	0.0040887850467289715	0.0040887850467289715	0.15384615384615385
commissioned_T070_A032	15	26	1712	15	0.5769230769230769	0.6666666666666666	0.0689252336448598	0.008177570093457943	0.0035046728971962616	0.15384615384615385
original_T095_A032	16	26	1712	16	0.6153846153846154	0.75	0.005257009345794392	0.0040887850467289715	0.0040887850467289715	0.15384615384615385
commissioned_T070_A032	16	26	1712	16	0.6153846153846154	0.6875	0.06950934579439252	0.008761682242990653	0.0040887850467289715	0.15384615384615385
original_T095_A032	17	26	1712	17	0.6538461538461539	0.7647058823529411	0.005841121495327103	0.004672897196261682	0.004672897196261682	0.15384615384615385
commissioned_T070_A032	17	26	1712	17	0.6538461538461539	0.7058823529411765	0.07009345794392523	0.009345794392523364	0.004672897196261682	0.15384615384615385
original_T095_A032	18	26	1712	18	0.6923076923076923	0.7777777777777778	0.008177570093457943	0.007009345794392523	0.005257009345794392	0.15384615384615385
commissioned_T070_A032	18	26	1712	18	0.6923076923076923	0.7222222222222222	0.07067757009345794	0.009929906542056074	0.005257009345794392	0.15384615384615385
original_T095_A032	19	26	1712	19	0.7307692307692307	0.7894736842105263	0.008177570093457943	0.007009345794392523	0.005257009345794392	0.15384615384615385
commissioned_T070_A032	19	26	1712	19	0.7307692307692307	0.7368421052631579	0.07126168224299065	0.010514018691588784	0.005841121495327103	0.15384615384615385
original_T095_A032	20	26	1712	20	0.7692307692307693	0.8	0.008761682242990653	0.007593457943925234	0.005841121495327103	0.15384615384615385
commissioned_T070_A032	20	26	1712	20	0.7692307692307693	0.75	0.07184579439252337	0.011098130841121495	0.006425233644859813	0.15384615384615385
original_T095_A032	21	26	1712	21	0.8076923076923077	0.7619047619047619	0.008761682242990653	0.007593457943925234	0.005841121495327103	0.19230769230769232
commissioned_T070_A032	21	26	1712	21	0.8076923076923077	0.7619047619047619	0.07242990654205607	0.011682242990654205	0.007009345794392523	0.15384615384615385
original_T095_A032	22	26	1712	22	0.8461538461538461	0.7727272727272727	0.013434579439252336	0.012266355140186916	0.006425233644859813	0.19230769230769232
commissioned_T070_A032	22	26	1712	22	0.8461538461538461	0.7727272727272727	0.07301401869158879	0.012266355140186916	0.007593457943925234	0.15384615384615385
original_T095_A032	23	26	1712	23	0.8846153846153846	0.782608695652174	0.013434579439252336	0.012266355140186916	0.006425233644859813	0.19230769230769232
commissioned_T070_A032	23	26	1712	23	0.8846153846153846	0.782608695652174	0.07476635514018691	0.014018691588785047	0.008177570093457943	0.15384615384615385
original_T095_A032	24	26	1712	24	0.9230769230769231	0.7916666666666666	0.013434579439252336	0.012266355140186916	0.006425233644859813	0.19230769230769232
commissioned_T070_A032	24	26	1712	24	0.9230769230769231	0.7916666666666666	0.07535046728971963	0.014602803738317757	0.008761682242990653	0.15384615384615385
original_T095_A032	25	26	1712	25	0.9615384615384616	0.8	0.013434579439252336	0.012266355140186916	0.006425233644859813	0.19230769230769232
commissioned_T070_A032	25	26	1712	25	0.9615384615384616	0.8	0.07593457943925233	0.015186915887850467	0.009345794392523364	0.15384615384615385
original_T095_A032	26	26	1712	26	1.0	0.7692307692307693	0.013434579439252336	0.012266355140186916	0.006425233644859813	0.19230769230769232
